a	1	21642	0.082195526	+++++
b	2	5653	0.021469887	++++
c	2	9773	0.037117497	++++
d	2	11648	0.044238679	++++
e	1	30917	0.117421638	+++++
f	3	3705	0.014071454	+++
g	2	7987	0.030334334	++++
h	2	6468	0.024565228	++++
i	1	20476	0.077767101	+++++
j	4	747	0.002837078	++
k	3	3275	0.012438330	+++
l	2	14197	0.053919688	++++
m	2	7320	0.027801093	++++
n	1	17583	0.066779592	+++++
o	1	15416	0.058549405	+++++
p	2	6972	0.026479401	++++
q	5	500	0.001898981	+
r	1	18946	0.071956217	+++++
s	1	23748	0.090194037	+++++
t	1	16057	0.060983900	+++++
u	2	8821	0.033501836	++++
v	3	2699	0.010250703	+++
w	3	2868	0.010892559	+++
x	4	725	0.002753523	++
y	3	4069	0.015453913	+++
z	4	1087	0.004128386	++
